ï»¿facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin2,admin1,Telephone,status
Medron Medical Centre,893999-3,Private Hospital,PRIVATE,-24.39272,25.49657,Kweneng East,Kweneng,5916574,OPERATIONAL
Meepo Medicentre,734859-2,Group practice,PRIVATE,-21.3115,25.37642,Boteti,Boteti,+267 2910073,OPERATIONAL
Metlobo Clinic,227847-1,Clinic,GOVERNMENT,-25.424442,24.964815,Goodhope,Greater Lobatse,+267 5410391,OPERATIONAL
Metlojane Health Post,828861-5,Health Post,GOVERNMENT,-25.53896,25.36968,Goodhope,Greater Lobatse,+267 5350013,OPERATIONAL
Metsibotlhoko Health Post,331961-3,Health Post,GOVERNMENT,-24.043334,24.865572,Kweneng West,Kweneng,+267 5960227,OPERATIONAL
Metsimantsho Health Post,233523-0,Health Post,GOVERNMENT,-23.15197466,20.82680818,Charleshill,Ghanzi,6511998,OPERATIONAL
Metsimaswaane,958721-3,Health Post,GOVERNMENT,-24.8092275,25.7563529,South East,Greater Gaborone,+267 73141703,OPERATIONAL
Metsimotlhabe Clinic,388278-4,Clinic,GOVERNMENT,-24.5438,25.7969,Kweneng East,Greater Gaborone,+267 3960120,OPERATIONAL
Mhalapitsa Health Post,458120-3,Health Post,GOVERNMENT,-22.794766,27.232004,Mahalapye,Mahalapye,+267 4910720,OPERATIONAL
Middlepits Clinic ,352619-1,Clinic with Maternity,GOVERNMENT,-26.6623911,21.8771347,Kgalagadi south,Kgalagadi South,+267 6511110,OPERATIONAL
Mmabesi Medical,42979-5,Individual practitioner,PRIVATE,-22.39278,26.711801,Serowe,Serowe/Palapye,4600205,OPERATIONAL
Mmadikola  Health Post,885823-5,Health Post,GOVERNMENT,-21.038484,24.474126,Boteti,Boteti,+267 2965094,OPERATIONAL
Mmadinare Primary Hospital,488869-9,Primary Hospital,GOVERNMENT,-21.868293,27.754656,Phikwe,Greater Phikwe,+267 2975111,OPERATIONAL
Mmakgori Health Post,515196-4,Health Post,GOVERNMENT,-25.81427,24.80021,Goodhope,Greater Lobatse,+267 5401010,OPERATIONAL
Mmamokhasi Clinic,646833-4,Clinic,GOVERNMENT,-25.005214,25.327859,Kanye,Southern,+267 5403462,OPERATIONAL
Mmanoko Health Post,357664-2,Health Post,GOVERNMENT,-24.475264,25.664532,Kweneng East,Kweneng,+267 5960286,OPERATIONAL
Mmaphashalala Health Post,180732-0,Health Post,GOVERNMENT,-23.649367,26.824376,Mahalapye,Mahalapye,+267 4770002,OPERATIONAL
Mmashoro Clinic,737491-1,Clinic with Maternity,GOVERNMENT,-21.867612,26.441963,Serowe,Serowe/Palapye,2674639505,OPERATIONAL
Mmathethe Clinic,455460-6,Clinic with Maternity,GOVERNMENT,-25.321281,25.272177,Goodhope,Greater Lobatse,+267 5400333,OPERATIONAL
Mmathubudukwane  Clinic,858271-0,Clinic with Maternity,GOVERNMENT,-24.601173,26.433612,Kgatleng,Kgatleng,+267 5778208,OPERATIONAL
Mmathubudukwane Private Clinic,831366-0,Individual practitioner,PRIVATE,-24.514507,26.436915,Kgatleng,Kgatleng,73 203 472,OPERATIONAL
Mmatseta Health Post,969643-6,Health Post,GOVERNMENT,-24.513031,25.865234,Kweneng East,Kweneng,5960106,OPERATIONAL
Mmatshumo Clinic,823556-6,Clinic,GOVERNMENT,-21.147237,25.66034,Boteti,Boteti,+267 2979602,OPERATIONAL
Mmea Health Post ,454413-6,Health Post,GOVERNMENT,-21.091018,26.329855,Boteti,Boteti,+267 2910215,OPERATIONAL
Mmokolodi Clinic,933228-9,Clinic,GOVERNMENT,-24.7082,25.808,Kweneng East,Greater Gaborone,+267 3960121,OPERATIONAL
Mmopane  Health Post,571710-3,Health Post,GOVERNMENT,-24.5782,25.8679,Kweneng East,Greater Gaborone,3960291/3960185,OPERATIONAL
Mmutlane Health Post,271111-7,Health Post,GOVERNMENT,-23.048333,26.578049,Mahalapye,Mahalapye,+267 4763716,OPERATIONAL
Mochudi 1  Clinic,118883-8,Clinic,GOVERNMENT,-24.396106,26.143023,Kgatleng,Kgatleng,+267 5777888,OPERATIONAL
Mochudi 2  Clinic,521011-7,Clinic,GOVERNMENT,-24.373852,26.161209,Kgatleng,Kgatleng,+267 5777337,OPERATIONAL
Mochudi Pharmacy,525629-2,Individual practitioner,PRIVATE,-24.392995,26.141159,Kgatleng,Kgatleng,+267 5710777 / 71783411,OPERATIONAL
Mochudi Prisons Sick Bay Health Post,456996-8,Health Post,GOVERNMENT,-24.4005358,26.1237397,Kgatleng,Kgatleng,+267 5777251,OPERATIONAL
Modikwane Health Post (Serowe),477648-0,Health Post,GOVERNMENT,-22.373959,26.686889,Serowe,Serowe/Palapye,2674635687,OPERATIONAL
Modipane Health Post,371326-0,Health Post,GOVERNMENT,-24.626432,26.125523,Kgatleng,Kgatleng,+267 3102227,OPERATIONAL
Moeng  College Health Post,793318-7,Clinic,GOVERNMENT,-22.679795,27.614729,Palapye,Serowe/Palapye,4950109,OPERATIONAL
Moeti Clinic,697110-5,Clinic with Maternity,GOVERNMENT,-19.966623,23.402511,Ngami,Ngami,,OPERATIONAL
Mogobane Clinic,889476-8,Clinic with Maternity,GOVERNMENT,-24.980998,25.697681,South East,Greater Gaborone,+267 5339203/73642973,OPERATIONAL
Mogobane Health Post,350353-9,Health Post,GOVERNMENT,-24.595974,25.721624,South East,Greater Gaborone,+267 5339246,OPERATIONAL
Mogoditshane Clinic,373679-0,Clinic,GOVERNMENT,-24.626239,25.872511,Kweneng East,Greater Gaborone,+267 3952548,OPERATIONAL
Mogojogojo Health Post,348593-5,Health Post,GOVERNMENT,-25.314042,25.532544,Lobatse,Greater Lobatse,+267 5350014,OPERATIONAL
Mogome Health Post,599426-4,Clinic,GOVERNMENT,-22.782411,26.895607,Palapye,Serowe/Palapye,+267 73224706,OPERATIONAL
Mogonono Health Post,188683-7,Health Post,GOVERNMENT,-24.257886,25.544507,Kweneng East,Kweneng,+267 5960045,OPERATIONAL
Mogonye Health Post,965687-7,Health Post,GOVERNMENT,-24.824732,25.708556,Moshupa,Southern,+267 73229688,OPERATIONAL
Mogorosi Health Post,523178-2,Health Post,GOVERNMENT,-22.434805,26.564156,Serowe,Serowe/Palapye,4600144,OPERATIONAL
Mogotlho Health Post,209107-2,Health Post,GOVERNMENT,-18.527139,22.15476,Okavango,Okavango,26773019655,OPERATIONAL
Mohaung Medical Centre,32636-3,Individual practitioner,PRIVATE,-22.4249246,26.75393928,Serowe,Serowe/Palapye,4600966,OPERATIONAL
Mohembo/Nxomokao Health Post,816069-9,Health Post,GOVERNMENT,-18.296565,21.792407,Okavango,Okavango,26773019703,OPERATIONAL
Moiyabana Clinic,299591-8,Clinic with Maternity,GOVERNMENT,-22.636341,26.398713,Serowe,Serowe/Palapye,2674631174,OPERATIONAL
Mokatako Health Post,965601-8,Health Post,GOVERNMENT,-25.758279,25.219306,Goodhope,Greater Lobatse,+267 5410823,OPERATIONAL
Mokgenene Health Post,996429-7,Health Post,GOVERNMENT,-23.540917,26.024517,Mahalapye,Mahalapye,+267 73469465,OPERATIONAL
Mokgomane Health Post,381272-4,Health Post,GOVERNMENT,-25.55845,25.239104,Goodhope,Greater Lobatse,+267 5487225,OPERATIONAL
Mokgoro Clinic,456797-0,Clinic,GOVERNMENT,-20.591168,26.533987,Tutume,Tutume,+267 2977152,OPERATIONAL
Mokgware Health Post,199216-3,Clinic,GOVERNMENT,-22.772657,26.794488,Palapye,Serowe/Palapye,+267 73224447,OPERATIONAL
Mokhomma Health Post,420871-6,Health Post,GOVERNMENT,-24.771376,24.598587,Jwaneng,Southern,+267 5889359,OPERATIONAL
Moko Clinic,953200-3,Clinic,GOVERNMENT,-23.09,26.09,Mahalapye,Mahalapye,+267 77000055,OPERATIONAL
Mokobeng Health Post,160838-9,Health Post,GOVERNMENT,-22.999808,27.669477,Mahalapye,Mahalapye,+267 4950008,OPERATIONAL
Mokoboxane Health  Post,325792-0,Health Post,GOVERNMENT,-21.264365,24.9480735,Boteti,Boteti,+267 2975163,OPERATIONAL
Mokoswane Health Post,659894-0,Health Post,GOVERNMENT,-23.31232,26.992475,Mahalapye,Mahalapye,+267 4712595,OPERATIONAL
Mokowana /Mosweu Health Post,657606-0,Clinic,GOVERNMENT,-22.650395,27.639305,Palapye,Serowe/Palapye,+267 4917343,OPERATIONAL
Mokubilo  Health  Post,682954-3,Health Post,GOVERNMENT,-21.231906,26.429584,Boteti,Boteti,+267 2910214,OPERATIONAL
Mokungwane Health Post,891412-9,Clinic,GOVERNMENT,-22.706446,27.278069,Palapye,Serowe/Palapye,+267 4910065,OPERATIONAL
Molalatau Health Post,908419-5,Health Post,GOVERNMENT,-22.066779,28.601306,Bobirwa,Greater Phikwe,+267 2645373,OPERATIONAL
Molefi Senior Secondary School Clinic,303962-5,Clinic,GOVERNMENT,-24.42334,26.15249,Kgatleng,Kgatleng,5750011,OPERATIONAL
Molepolole College of Education,624090-7,Clinic,GOVERNMENT,-24.41654,25.489933,Kweneng East,Kweneng,5920275,OPERATIONAL
Molepolole Council Clinic,325329-1,Clinic,GOVERNMENT,-24.401672,25.513328,Kweneng East,Kweneng,+267 5920289,OPERATIONAL
Molepolole Prison,229763-8,Clinic,GOVERNMENT,-24.389848,25.478657,Kweneng East,Kweneng,5920796,OPERATIONAL
Monong Health Post,829710-3,Health Post,GOVERNMENT,-23.661561,21.511101,Kgalagadi North,Kgalagadi North,+267 76875323,OPERATIONAL
Monwane Health Post,375911-5,Health Post,GOVERNMENT,-24.31711,25.212025,Kweneng West,Kweneng,+267 5960216,OPERATIONAL
Mookane Clinic,428165-5,Clinic with Maternity,GOVERNMENT,-23.68949,26.660317,Mahalapye,Mahalapye,+267 4773664,OPERATIONAL
Mopipi Clinic ,326326-6,Clinic with Maternity,GOVERNMENT,-21.204146,24.857667,Boteti,Boteti,+267 2973003,OPERATIONAL
Moralane Heath Post,332304-5,Health Post,GOVERNMENT,-22.950175,26.235401,Mahalapye,Mahalapye,+267 75572082,OPERATIONAL
Morama Clinic,304722-2,Clinic,GOVERNMENT,-21.7084,21.656839,Ghanzi,Ghanzi,+267 73922633,OPERATIONAL
Moremi Health Post,192441-4,Clinic,GOVERNMENT,-22.573828,27.447234,Palapye,Serowe/Palapye,+267 4918222,OPERATIONAL
Moreomabele Health Post,187595-4,Health Post,GOVERNMENT,-22.5446618,27.1057375,Palapye,Serowe/Palapye,26777024390,OPERATIONAL
Moreomaoto Health Post,781688-7,Health Post,GOVERNMENT,-20.239504,24.25479,Boteti,Boteti,+267 6868005,OPERATIONAL
Moroka Clinic,899793-4,Clinic,GOVERNMENT,-20.531766,27.653674,North East,North East,+267 2489268,OPERATIONAL
Morupule Coal Mine Clinic,666764-6,Ambulatory Center,PRIVATE,-22.507011,27.026465,Palapye,Serowe/Palapye,492 0251,OPERATIONAL
Morupule Coliery Clinic,156495-4,Clinic,undefined,-22.525171,27.04955,Palapye,Serowe/Palapye,,OPERATIONAL
Morwa  Clinic,503641-3,Clinic,GOVERNMENT,-24.423139,26.085817,Kgatleng,Kgatleng,+267 5728614,OPERATIONAL
Morwamosu Clinic,297961-5,Clinic,GOVERNMENT,-24.091272,23.080741,Mabutsane,Southern,+267 5889002,OPERATIONAL
Moselebe Health Post,802310-3,Health Post,GOVERNMENT,-24,21.75,Kgalagadi North,Kgalagadi North,+267 6510180,OPERATIONAL
Mosetse Health Post,822378-6,Health Post,GOVERNMENT,-20.646983,26.638469,Tutume,Tutume,+267 2977050,OPERATIONAL
Moshana Health Post,840134-1,Health Post,GOVERNMENT,-24.906531,25.236704,Kanye,Southern,+267 5480523,OPERATIONAL
Moshaweng Clinic,410982-3,Clinic,GOVERNMENT,-24.526995,25.042289,Kweneng West,Kweneng,+267 5960174,OPERATIONAL
Moshopha Health Post ,613622-0,Health Post,GOVERNMENT,-22.94641,27.375843,Mahalapye,Mahalapye,+267 4915533,OPERATIONAL
Moshupa Council Clinic,561274-2,Clinic with Maternity,GOVERNMENT,-24.762834,25.409989,Moshupa,Southern,+267 73229748,OPERATIONAL
Moshupa Health Post,808218-2,Health Post,GOVERNMENT,-24.773759,25.420275,Moshupa,Southern,+267 73229821,OPERATIONAL
Moshupa SDA Clinic,640687-0,Clinic with Maternity,MISSION,-24.790637,25.417258,Moshupa,Southern,+267 5449287,OPERATIONAL
Mosi Health Post,189482-3,Health Post,GOVERNMENT,-25.543284,25.135531,Goodhope,Greater Lobatse,5410813,OPERATIONAL
Mosojane Health Post,478872-5,Health Post,GOVERNMENT,-20.623026,27.518094,North East,North East,+267 2489236,OPERATIONAL
Mosolotshane Health Post,359199-7,Health Post,GOVERNMENT,-22.931866,26.382424,Mahalapye,Mahalapye,2674710800,OPERATIONAL
Mosu Health Post,317664-1,Health Post,GOVERNMENT,-21.218411,26.019257,Boteti,Boteti,+267 2910217,OPERATIONAL
Mothamo CJSS Clinic,717471-7,Clinic,GOVERNMENT,-22.641166,26.397377,Serowe,Serowe/Palapye,4620343,OPERATIONAL
Motopi Clinic,490856-2,Clinic with Maternity,GOVERNMENT,-20.216337,24.131747,Boteti,Boteti,+267 6869002,OPERATIONAL
Motsentshe Health Post,907515-1,Health Post,GOVERNMENT,-25.385333,25.364388,Goodhope,Greater Lobatse,+267 5410854,OPERATIONAL
Motswedi Clinic,456973-7,Clinic,GOVERNMENT,	-25.22407,25.70536,Lobatse,Greater Lobatse,+267 5333037,OPERATIONAL
Mowana Copper Mine Clinic,61986-6,Individual practitioner,PRIVATE,-20.521754,26.600861,Tutume,Tutume,76240258,OPERATIONAL
Mowana Health Post,322012-6,Health Post,GOVERNMENT,-23.140048,26.815761,Mahalapye,Mahalapye,+267 4720586,OPERATIONAL
Mowana Health Post,796866-2,Health Post,GOVERNMENT,-20.80149,27.621247,North East,North East,+267 73782213,OPERATIONAL
Mudili Medical Centre,46988-2,Individual practitioner,PRIVATE,-24.383501,25.53875,Greater Gaborone,Greater Gaborone,3162199,OPERATIONAL
Mulambakwena Health Post,585979-8,Health Post,GOVERNMENT,-20.5707,27.460808,North East,North East,+267 2489464,OPERATIONAL
Multicare (pty)Ltd T/A Rose Dental ,197971-5,Individual practitioner,PRIVATE,-24.69409617,25.87991469,Greater Gaborone,--,+267 3117576,OPERATIONAL
My Chemist (Pharmacy),586431-9,Individual practitioner,PRIVATE,-24.392877,26.139514,Kgatleng,Kgatleng,+267 5777213,OPERATIONAL
My Life Pharmacy,353920-2,Individual practitioner,PRIVATE,-24.985599,25.342961,Kanye,Southern,5443802,OPERATIONAL
NDEBORA MEDICAL CENTRE,540778-8,Individual practitioner,PRIVATE,-24.6042805,24.72842212,Jwaneng,Southern,+267 5887097,OPERATIONAL
NEOVISION EYE CLINIC,864865-1,Individual practitioner,PRIVATE,-24.6218752,25.8932736,--,--,+267 71897405,OPERATIONAL
NEW DAY MEDICAL CENTRE,711463-0,Individual practitioner,PRIVATE,-24.64357,25.88481,South East,Greater Gaborone,3917206,OPERATIONAL
NEW HOPE PRIVATE CLINIC,931356-0,Individual practitioner,PRIVATE,-17.792446,25.155893,Chobe,Chobe,26771993199,OPERATIONAL
NOTWANE PHARMACY,414032-3,Individual practitioner,PRIVATE,-24.6641,25.9075,Greater Gaborone,--,+267 3951853,OPERATIONAL
Nata Clinic,399472-0,Clinic with Maternity,GOVERNMENT,-20.20806,26.203058,Tutume,Tutume,+267 6211244,OPERATIONAL
Nata Medical Care,937506-4,Individual practitioner,PRIVATE,-20.2010898,26.1820085,Tutume,Tutume,+267 76831961,OPERATIONAL
Natale Health Post,557750-7,Health Post,GOVERNMENT,-21.099755,27.229101,Greater Francistown,Greater Francistown,+267 2418717,OPERATIONAL
Natural Dent Dental Clinic,772967-6,Private Hospital,PRIVATE,-22.5514872,27.1147095,Palapye,Serowe/Palapye,4924727,OPERATIONAL
Ncaang Health Post,908500-2,Health Post,GOVERNMENT,-23.4424382,21.2236691,Kgalagadi North,Kgalagadi North,+267 76875328,OPERATIONAL
Ncojane Clinic,678593-5,Clinic with Maternity,GOVERNMENT,-23.13832085,20.28450347,Charleshill,Ghanzi,6511626,OPERATIONAL
Negussie and Kidist Anaesthesia services,516779-6,Individual practitioner,PRIVATE,-24.5883043,25.8403346,Kweneng East,--,+267 3692142,OPERATIONAL
New Age Clinic,539393-9,Individual practitioner,PRIVATE,-24.6281599,25.9343726,South East,--,+267 77121064,OPERATIONAL
New Xade Clinic,618772-8,Clinic with Maternity,GOVERNMENT,-22.120531,22.415089,Ghanzi,Ghanzi,+267 73924639,OPERATIONAL
New Xanagas/Tsawe Health Post,989336-3,Health Post,GOVERNMENT,-22.43133296,20.65414909,Charleshill,Ghanzi,6511700,OPERATIONAL
Newtown Clinic,732845-3,Clinic,GOVERNMENT,-22.415428,26.739302,Serowe,Serowe/Palapye,2674632839,OPERATIONAL
Ngami Physiotherapy Clinic ,449436-5,Individual practitioner,PRIVATE,-19.98683717,23.42477576,Ngami,--,+267 72552027,OPERATIONAL
Ngarange Health Post,554994-4,Health Post,GOVERNMENT,-18.398124,22.006434,Okavango,Okavango,73019648,OPERATIONAL
Ngwapa Health Post,134420-9,Health Post,GOVERNMENT,-23.010358,27.752352,Mahalapye,Mahalapye,+267 4919399,OPERATIONAL
Ngware Clinic,535023-6,Clinic,GOVERNMENT,-23.859501,25.367383,Kweneng West,Kweneng,+267 5960173,OPERATIONAL
Ngwatle Health Post,910036-3,Health Post,GOVERNMENT,-24.7550285,21.8568586,Kgalagadi North,Kgalagadi North,+267 71411530,OPERATIONAL
Nkaikela Health Post,257736-9,Health Post,GOVERNMENT,-24.67294,25.97526,Greater Gaborone,Greater Gaborone,"+267 3928596, 3190249",OPERATIONAL
Nkaikela Youth Group,192292-1,Group practice,PRIVATE,-24.865005,25.864785,South East,Greater Gaborone,+267 77132470,OPERATIONAL
Nkange Clinic,832575-5,Clinic with Maternity,GOVERNMENT,-20.299122,27.134997,Tutume,Tutume,+267 2986220,OPERATIONAL
Nkoyaphiri Clinic,921292-9,Clinic,GOVERNMENT,-24.610801,25.85389,Kweneng East,Kweneng,3936890/3960124,OPERATIONAL
Nlaphkwane Clinic,348737-8,Clinic,GOVERNMENT,-20.517333,27.519522,North East,North East,+267 2489253,OPERATIONAL
Nokaneng Clinic,245929-5,Clinic with Maternity,GOVERNMENT,-19.662259,22.18832,Okavango,Okavango,6873000,OPERATIONAL
North West Family Health Centre,358521-3,Individual practitioner,PRIVATE,-19.9935254,23.4166898,Ngami,--,+267 6800093,OPERATIONAL
Notwane Medical Center,23551-5,Individual practitioner,PRIVATE,-24.39928,26.14769,Kgatleng,Kgatleng,+267 5777890,OPERATIONAL
Nshakashogwe Health Post,803159-3,Health Post,GOVERNMENT,-20.788986,27.186429,Tutume,Tutume,+267 2981166,OPERATIONAL
Nswazi Clinic,404224-8,Clinic,GOVERNMENT,-20.65835,27.22711,Tutume,Tutume,+267 2982213,OPERATIONAL
Ntlhantlhe Clinic,171223-1,Clinic,GOVERNMENT,-24.963807,25.595767,Moshupa,Southern,+267 73229738,OPERATIONAL
Ntshe Clinic,433002-3,--,GOVERNMENT,-21.134613,27.498906,Greater Francistown,Greater Francistown,+267 2405198,OPERATIONAL
Nutrition Clinic,533191-3,Clinic,GOVERNMENT,-22.412759,26.703113,Serowe,Serowe/Palapye,2674635888,OPERATIONAL
Nxamasere Health Post,146770-3,Health Post,GOVERNMENT,-18.588056,21.993648,Okavango,Okavango,6878009,OPERATIONAL
Nxaunxau Health Post,379558-0,Health Post,GOVERNMENT,-18.974316,21.301147,Okavango,Okavango,73019692,OPERATIONAL
Nyangabgwe Hospital,431904-2,Referral Hospital,GOVERNMENT,-21.187828,27.536341,Greater Francistown,Greater Francistown,241 1000,PENDING
O.K. CHEMIST,295406-3,Individual practitioner,PRIVATE,-25.209814,25.678195,South East,--,+267 5301520,OPERATIONAL
OK CHEMIST-KANYE,913246-5,Individual practitioner,PRIVATE,-24.982247,25.343318,Kanye,Southern,+267 5444100,OPERATIONAL
OM PHYSIOTHERAPHY CLINIC PTY LTD,925634-8,Individual practitioner,PRIVATE,-22.5474382,27.0848546,Greater Gaborone,--,+267 4921849,OPERATIONAL
OM Physiotherapy,836752-6,Individual practitioner,PRIVATE,-22.42,26.743,Serowe,Serowe/Palapye,4620404,OPERATIONAL
OPTICAL INSIGHT,1026941-3,Individual practitioner,PRIVATE,-21.3352448,25.362432,Greater Gaborone,--,+267 2976929,OPERATIONAL
OPTICO CENTRE,419929-5,Group practice,PRIVATE,-21.16486,27.51012,--,--,+267 2413983,OPERATIONAL
ORISTONE MEDICAL CLINIC,204899-9,Individual practitioner,PRIVATE,-24.9791745,25.3359064,Lobatse,--,+267 71669668,OPERATIONAL
Oasis Pharmacy,621298-9,Individual practitioner,PRIVATE,-24.68336222,25.9548671,South East,Greater Gaborone,3950045,OPERATIONAL
Okavango Air Rescue,347560-5,Poly Clinic,PRIVATE,-19.980074,23.420203,Ngami,Ngami,6861616,OPERATIONAL
Okavare Pharmacy,639545-3,Private Hospital,PRIVATE,-22.27441058,20.07436536,Charleshill,Ghanzi,6511096,OPERATIONAL
Old Naledi Clinic,870919-8,Clinic with Maternity,GOVERNMENT,-24.6899,25.8968,Greater Gaborone,Greater Gaborone,3953489/3975709/3904598,OPERATIONAL
Old Sekgoma Clinic,447878-0,Clinic,GOVERNMENT,-22.3919246,26.6914428,Serowe,Serowe/Palapye,2674620438,OPERATIONAL
Oliphant's Drift  Clinic,635660-4,Clinic with Maternity,GOVERNMENT,-24.187878,26.862592,Kgatleng,Kgatleng,+267 5750227,OPERATIONAL
Omaweneno Health Post,451455-0,Health Post,GOVERNMENT,-25.759256,22.566441,Kgalagadi south,Kgalagadi South,+267 6542006,OPERATIONAL
Oodi  Clinic,868940-8,Clinic with Maternity,GOVERNMENT,-24.580794,26.043735,Kgatleng,Kgatleng,+267 3930123,OPERATIONAL
Optical Services Pty Ltd,435638-2,Individual practitioner,PRIVATE,-21.1676,27.51103,Greater Francistown,Greater Francistown,2413648,OPERATIONAL
Optico centre Tutume,856575-6,Group practice,PRIVATE,-20.489323,27.041246,Tutume,Tutume,72416358,OPERATIONAL
Optifocus,74820-2,Individual practitioner,PRIVATE,-24.4080288,25.5116696,Kweneng East,Kweneng,5915775,OPERATIONAL
Optoguide Optometrist,684095-3,Individual practitioner,PRIVATE,-24.401105,26.081957,Kgatleng,Kgatleng,+267 5728383,OPERATIONAL
Oramax Medical Center,202256-4,Individual practitioner,PRIVATE,-24.5883043,25.8403346,Greater Gaborone,--,+267 3694813,OPERATIONAL
Oristone Medical Clinic,100478-7,Individual practitioner,PRIVATE,-24.978584,25.336013,Kanye,Southern,267 71670993,OPERATIONAL
Orthomed Prosthetics Orthotics Clinic,708736-4,Individual practitioner,PRIVATE,-24.6611968,25.8736128,Greater Gaborone,--,+267 3104228,OPERATIONAL
Otse Clinic,568461-8,Clinic with Maternity,GOVERNMENT,-25.032015,25.748092,South East,Greater Gaborone,+267 5337198/655,OPERATIONAL
Otse Health Post,900214-8,Health Post,GOVERNMENT,-23.331399,25.866652,Mahalapye,Mahalapye,73898846/77067148,OPERATIONAL
PALAPYE MEDICAL CENTRE,876071-2,Private Hospital,PRIVATE,-22.5560481,27.1339824,Palapye,Serowe/Palapye,267 492 4488,OPERATIONAL
PALMES CLINIC,733114-3,Individual practitioner,PRIVATE,-24.6437,25.9112,Lobatse,--,+267 5440768,OPERATIONAL
PHAKALANE MEDICAL CENTER,962439-6,Individual practitioner,PRIVATE,-24.560997,25.966156,Greater Gaborone,Greater Gaborone,3974949,OPERATIONAL
PHARMA HUB,622375-4,Individual practitioner,PRIVATE,-24.6724096,25.9822632,Greater Gaborone,--,+267 3117848,OPERATIONAL
PHARMA KGATLENG PTY LTD,272797-2,Individual practitioner,PRIVATE,-24.397436,26.149568,Kgatleng,Kgatleng,75494094,OPERATIONAL
PHARMA SOUTH PHARMACY,942698-2,Group practice,PRIVATE,-24.6437,25.9112,Greater Gaborone,Greater Gaborone,3906688,OPERATIONAL
PHARMALULU WESTGATE,559900-6,Group practice,PRIVATE,-24.6372307,25.8937873,Greater Gaborone,Greater Gaborone,3182767,OPERATIONAL
PHARMAZONE,984432-5,Individual practitioner,PRIVATE,-24.67513,25.92211,Greater Gaborone,--,+267 3931931,OPERATIONAL
PHYSIO HUB,127545-2,Group practice,PRIVATE,-24.658651,25.900505,Greater Gaborone,--,+267 73534086,OPERATIONAL
PHYSIOTHERAPY PRIVATE PRACTICE,251139-2,Individual practitioner,PRIVATE,-24.65269583,25.92002187,Greater Gaborone,--,+267 3958070,OPERATIONAL
POHA BDF Health Post,832969-0,Health Post,GOVERNMENT,-19.532249,23.657797,Chobe,Chobe,+267 3664811,OPERATIONAL
PROCARE PHARMACY,195535-0,Individual practitioner,PRIVATE,-21.41248,25.58248,Boteti,Boteti,2978026,OPERATIONAL
PROGRESSIVE PHYSIOTHERAPY CLINIC,412231-3,Group practice,PRIVATE,-21.1746816,27.5218432,--,--,+267 2416284,OPERATIONAL
PURE SIGHT OPTOMETRISTS,797955-2,Individual practitioner,PRIVATE,-22.5334445,27.0890602,Greater Gaborone,--,+267 4924733,OPERATIONAL
PY Chem Pharmacy- Junction Branch,690762-0,Individual practitioner,PRIVATE,-22.556088,27.133544,Palapye,Serowe/Palapye,492 1210,OPERATIONAL
Padre Pio Medical Centre,466230-0,Individual practitioner,PRIVATE,-24.641536,25.9063808,Greater Gaborone,--,+267 3164811,OPERATIONAL
Paje BDF Health Post,835707-1,Health Post,GOVERNMENT,-22.273719,26.790969,Serowe,Serowe/Palapye,46,OPERATIONAL
Paje Health Post,477889-0,Health Post,GOVERNMENT,-22.261367,26.788633,Serowe,Serowe/Palapye,2674623119,OPERATIONAL
Palapye Medical Centre,272170-2,Individual practitioner,PRIVATE,-21.3119942,25.4022706,Greater Gaborone,--,+267 71711830,OPERATIONAL
Palapye Primary Hospital,287388-3,Primary Hospital,GOVERNMENT,-22.552184,27.131304,Palapye,Serowe/Palapye,+267 4920650,OPERATIONAL
Pallaroad Health Post,237486-6,Health Post,GOVERNMENT,-23.406452,26.695273,Mahalapye,Mahalapye,+267 4773605,OPERATIONAL
Pamper Inc (Pty) Ltd T/A Holistic Physio & Fitness Clinic,477319-8,Individual practitioner,PRIVATE,-22.5398279,27.0874429,Palapye,Serowe/Palapye,492 2049,OPERATIONAL
Pandamatenga BDF Clinic,287528-4,Clinic,GOVERNMENT,-18.623886,25.629437,Chobe,Chobe,3664811,OPERATIONAL
Pandamatenga Clinic,472023-1,Clinic with Maternity,GOVERNMENT,-19.532168,23.656466,Chobe,Chobe,+267 6232008,OPERATIONAL
Papatlo Health Post,250219-3,Health Post,GOVERNMENT,-25.64707,25.503,Goodhope,Greater Lobatse,+267 5486587,OPERATIONAL
Parakarungu Clinic ,709838-7,Clinic,GOVERNMENT,-18.037566,24.317516,Chobe,Chobe,+267 6240220,OPERATIONAL
Pathview Laboratory,286856-0,Individual practitioner,PRIVATE,-21.69310593,21.64998169,Ghanzi,Ghanzi,73381970,OPERATIONAL
Peace Medical Centre,306393-0,Individual practitioner,PRIVATE,-25.22676,25.67092,Lobatse,Greater Lobatse,5306506,OPERATIONAL
Peleng Central Clinic,562246-9,Clinic,GOVERNMENT,-25.2286915,25.6775413,Lobatse,Greater Lobatse,+267 5330534,OPERATIONAL
Peo Clinical Psychology Consultancy - Peo Psych,966383-2,Individual practitioner,PRIVATE,-24.653257,25.906792,South East,Greater Gaborone,3910021,OPERATIONAL
Phaphane  Clinic,134033-0,Clinic,GOVERNMENT,-24.398301,26.105647,Kgatleng,Kgatleng,+267 5773421,OPERATIONAL
Pharm-Mart Pharmacy,797724-2,Private Hospital,PRIVATE,-24.405846,25.508883,Kweneng East,Kweneng,5910914,OPERATIONAL
